country_code,main_activity_code,main_activity_name,citl_information,year,value
AT,24,24 Production of pig iron or steel,1. Total allocated allowances (EUA or EUAA),2012,6925926
AT,29,29 Production of cement clinker,1. Total allocated allowances (EUA or EUAA),2012,2944955
AT,30,"30 Production of lime, or calcination of dolomite/magnesite",1. Total allocated allowances (EUA or EUAA),2012,1208351
AT,31,31 Manufacture of glass,1. Total allocated allowances (EUA or EUAA),2012,209335
AT,32,32 Manufacture of ceramics,1. Total allocated allowances (EUA or EUAA),2012,478462
AT,35,35 Production of pulp,1. Total allocated allowances (EUA or EUAA),2012,570155
AT,36,36 Production of paper or cardboard,1. Total allocated allowances (EUA or EUAA),2012,1546871
AT,38,38 Production of nitric acid,1. Total allocated allowances (EUA or EUAA),2012,217656
AT,42,42 Production of bulk chemicals,1. Total allocated allowances (EUA or EUAA),2012,76552
AT,99,99 Other activity opted-in under Art. 24,1. Total allocated allowances (EUA or EUAA),2012,27450
AT,10,10 Aviation,1. Total allocated allowances (EUA or EUAA),2013,565298
AT,20,20 Combustion of fuels,1. Total allocated allowances (EUA or EUAA),2013,3650434
AT,20-99,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2013,36780153
AT,21,21 Refining of mineral oil,1. Total allocated allowances (EUA or EUAA),2013,1803162
AT,21-99,21-99 All industrial installations (excl. combustion),1. Total allocated allowances (EUA or EUAA),2013,18803719
AT,24,24 Production of pig iron or steel,1. Total allocated allowances (EUA or EUAA),2013,8965769
AT,25,25 Production or processing of ferrous metals,1. Total allocated allowances (EUA or EUAA),2013,177098
AT,27,27 Production of secondary aluminium,1. Total allocated allowances (EUA or EUAA),2013,38715
AT,28,28 Production or processing of non-ferrous metals,1. Total allocated allowances (EUA or EUAA),2013,47586
AT,29,29 Production of cement clinker,1. Total allocated allowances (EUA or EUAA),2013,2836597
AT,30,"30 Production of lime, or calcination of dolomite/magnesite",1. Total allocated allowances (EUA or EUAA),2013,1252118
AT,31,31 Manufacture of glass,1. Total allocated allowances (EUA or EUAA),2013,198483
AT,32,32 Manufacture of ceramics,1. Total allocated allowances (EUA or EUAA),2013,383157
AT,34,34 Production or processing of gypsum or plasterboard,1. Total allocated allowances (EUA or EUAA),2013,50259
AT,35,35 Production of pulp,1. Total allocated allowances (EUA or EUAA),2013,545804
AT,36,36 Production of paper or cardboard,1. Total allocated allowances (EUA or EUAA),2013,1429129
AT,38,38 Production of nitric acid,1. Total allocated allowances (EUA or EUAA),2013,159328
AT,41,41 Production of ammonia,1. Total allocated allowances (EUA or EUAA),2013,696137
AT,42,42 Production of bulk chemicals,1. Total allocated allowances (EUA or EUAA),2013,119747
AT,99,99 Other activity opted-in under Art. 24,1. Total allocated allowances (EUA or EUAA),2013,100630
AT,10,10 Aviation,1. Total allocated allowances (EUA or EUAA),2014,761298
AT,20,20 Combustion of fuels,1. Total allocated allowances (EUA or EUAA),2014,3480305
AT,20-99,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2014,30745568
AT,21,21 Refining of mineral oil,1. Total allocated allowances (EUA or EUAA),2014,1759171
AT,21-99,21-99 All industrial installations (excl. combustion),1. Total allocated allowances (EUA or EUAA),2014,18428263
AT,24,24 Production of pig iron or steel,1. Total allocated allowances (EUA or EUAA),2014,8803535
AT,25,25 Production or processing of ferrous metals,1. Total allocated allowances (EUA or EUAA),2014,173301
AT,27,27 Production of secondary aluminium,1. Total allocated allowances (EUA or EUAA),2014,42531
AT,28,28 Production or processing of non-ferrous metals,1. Total allocated allowances (EUA or EUAA),2014,46759
AT,29,29 Production of cement clinker,1. Total allocated allowances (EUA or EUAA),2014,2787054
AT,30,"30 Production of lime, or calcination of dolomite/magnesite",1. Total allocated allowances (EUA or EUAA),2014,1232396
AT,31,31 Manufacture of glass,1. Total allocated allowances (EUA or EUAA),2014,194850
AT,32,32 Manufacture of ceramics,1. Total allocated allowances (EUA or EUAA),2014,354987
AT,34,34 Production or processing of gypsum or plasterboard,1. Total allocated allowances (EUA or EUAA),2014,61734
AT,35,35 Production of pulp,1. Total allocated allowances (EUA or EUAA),2014,554763
AT,36,36 Production of paper or cardboard,1. Total allocated allowances (EUA or EUAA),2014,1360025
AT,38,38 Production of nitric acid,1. Total allocated allowances (EUA or EUAA),2014,156561
AT,41,41 Production of ammonia,1. Total allocated allowances (EUA or EUAA),2014,684045
AT,42,42 Production of bulk chemicals,1. Total allocated allowances (EUA or EUAA),2014,117669
AT,99,99 Other activity opted-in under Art. 24,1. Total allocated allowances (EUA or EUAA),2014,98882
AT,10,10 Aviation,1. Total allocated allowances (EUA or EUAA),2015,900777
AT,20,20 Combustion of fuels,1. Total allocated allowances (EUA or EUAA),2015,2988950
AT,20-99,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2015,31092132
AT,21,21 Refining of mineral oil,1. Total allocated allowances (EUA or EUAA),2015,1715882
AT,21-99,21-99 All industrial installations (excl. combustion),1. Total allocated allowances (EUA or EUAA),2015,18100682
AT,24,24 Production of pig iron or steel,1. Total allocated allowances (EUA or EUAA),2015,8639698
AT,25,25 Production or processing of ferrous metals,1. Total allocated allowances (EUA or EUAA),2015,169489
AT,27,27 Production of secondary aluminium,1. Total allocated allowances (EUA or EUAA),2015,50892
AT,28,28 Production or processing of non-ferrous metals,1. Total allocated allowances (EUA or EUAA),2015,47815
AT,29,29 Production of cement clinker,1. Total allocated allowances (EUA or EUAA),2015,2736948
AT,30,"30 Production of lime, or calcination of dolomite/magnesite",1. Total allocated allowances (EUA or EUAA),2015,1210255
AT,31,31 Manufacture of glass,1. Total allocated allowances (EUA or EUAA),2015,185403
AT,32,32 Manufacture of ceramics,1. Total allocated allowances (EUA or EUAA),2015,362833
AT,34,34 Production or processing of gypsum or plasterboard,1. Total allocated allowances (EUA or EUAA),2015,60630
AT,35,35 Production of pulp,1. Total allocated allowances (EUA or EUAA),2015,549523
AT,36,36 Production of paper or cardboard,1. Total allocated allowances (EUA or EUAA),2015,1333062
AT,38,38 Production of nitric acid,1. Total allocated allowances (EUA or EUAA),2015,153761
AT,41,41 Production of ammonia,1. Total allocated allowances (EUA or EUAA),2015,671812
AT,42,42 Production of bulk chemicals,1. Total allocated allowances (EUA or EUAA),2015,115564
AT,99,99 Other activity opted-in under Art. 24,1. Total allocated allowances (EUA or EUAA),2015,97115
AT,10,10 Aviation,1. Total allocated allowances (EUA or EUAA),2016,679625
AT,20,20 Combustion of fuels,1. Total allocated allowances (EUA or EUAA),2016,2749400
AT,20-99,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2016,31667461
AT,21,21 Refining of mineral oil,1. Total allocated allowances (EUA or EUAA),2016,1675141
AT,21-99,21-99 All industrial installations (excl. combustion),1. Total allocated allowances (EUA or EUAA),2016,17742061
AT,24,24 Production of pig iron or steel,1. Total allocated allowances (EUA or EUAA),2016,8474462
AT,25,25 Production or processing of ferrous metals,1. Total allocated allowances (EUA or EUAA),2016,165674
AT,27,27 Production of secondary aluminium,1. Total allocated allowances (EUA or EUAA),2016,50126
AT,28,28 Production or processing of non-ferrous metals,1. Total allocated allowances (EUA or EUAA),2016,47151
AT,29,29 Production of cement clinker,1. Total allocated allowances (EUA or EUAA),2016,2686340
AT,30,"30 Production of lime, or calcination of dolomite/magnesite",1. Total allocated allowances (EUA or EUAA),2016,1187905
AT,31,31 Manufacture of glass,1. Total allocated allowances (EUA or EUAA),2016,176173
AT,32,32 Manufacture of ceramics,1. Total allocated allowances (EUA or EUAA),2016,357155
AT,34,34 Production or processing of gypsum or plasterboard,1. Total allocated allowances (EUA or EUAA),2016,59514
AT,35,35 Production of pulp,1. Total allocated allowances (EUA or EUAA),2016,536475
AT,36,36 Production of paper or cardboard,1. Total allocated allowances (EUA or EUAA),2016,1306797
AT,38,38 Production of nitric acid,1. Total allocated allowances (EUA or EUAA),2016,150932
AT,41,41 Production of ammonia,1. Total allocated allowances (EUA or EUAA),2016,659451
AT,42,42 Production of bulk chemicals,1. Total allocated allowances (EUA or EUAA),2016,113438
AT,99,99 Other activity opted-in under Art. 24,1. Total allocated allowances (EUA or EUAA),2016,95327
AT,10,10 Aviation,1. Total allocated allowances (EUA or EUAA),2017,653991
AT,20,20 Combustion of fuels,1. Total allocated allowances (EUA or EUAA),2017,2460966
AT,20-99,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2017,33606666
AT,21,21 Refining of mineral oil,1. Total allocated allowances (EUA or EUAA),2017,1635202
AT,21-99,21-99 All industrial installations (excl. combustion),1. Total allocated allowances (EUA or EUAA),2017,17464200
AT,24,24 Production of pig iron or steel,1. Total allocated allowances (EUA or EUAA),2017,8307755
AT,25,25 Production or processing of ferrous metals,1. Total allocated allowances (EUA or EUAA),2017,161852
AT,27,27 Production of secondary aluminium,1. Total allocated allowances (EUA or EUAA),2017,54109
AT,28,28 Production or processing of non-ferrous metals,1. Total allocated allowances (EUA or EUAA),2017,48445
AT,29,29 Production of cement clinker,1. Total allocated allowances (EUA or EUAA),2017,2635204
AT,30,"30 Production of lime, or calcination of dolomite/magnesite",1. Total allocated allowances (EUA or EUAA),2017,1165334
AT,31,31 Manufacture of glass,1. Total allocated allowances (EUA or EUAA),2017,172414
AT,32,32 Manufacture of ceramics,1. Total allocated allowances (EUA or EUAA),2017,351210
AT,34,34 Production or processing of gypsum or plasterboard,1. Total allocated allowances (EUA or EUAA),2017,58387
AT,35,35 Production of pulp,1. Total allocated allowances (EUA or EUAA),2017,523432
AT,36,36 Production of paper or cardboard,1. Total allocated allowances (EUA or EUAA),2017,1280337
AT,38,38 Production of nitric acid,1. Total allocated allowances (EUA or EUAA),2017,148072
AT,41,41 Production of ammonia,1. Total allocated allowances (EUA or EUAA),2017,646956
AT,42,42 Production of bulk chemicals,1. Total allocated allowances (EUA or EUAA),2017,181971
AT,99,99 Other activity opted-in under Art. 24,1. Total allocated allowances (EUA or EUAA),2017,93520
AT,10,10 Aviation,1. Total allocated allowances (EUA or EUAA),2018,671991
AT,20,20 Combustion of fuels,1. Total allocated allowances (EUA or EUAA),2018,2236516
AT,20-99,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2018,32851927
AT,21,21 Refining of mineral oil,1. Total allocated allowances (EUA or EUAA),2018,1595273
AT,21-99,21-99 All industrial installations (excl. combustion),1. Total allocated allowances (EUA or EUAA),2018,17127911
AT,24,24 Production of pig iron or steel,1. Total allocated allowances (EUA or EUAA),2018,8139719
AT,25,25 Production or processing of ferrous metals,1. Total allocated allowances (EUA or EUAA),2018,158025
AT,27,27 Production of secondary aluminium,1. Total allocated allowances (EUA or EUAA),2018,55100
AT,28,28 Production or processing of non-ferrous metals,1. Total allocated allowances (EUA or EUAA),2018,49610
AT,29,29 Production of cement clinker,1. Total allocated allowances (EUA or EUAA),2018,2583593
AT,30,"30 Production of lime, or calcination of dolomite/magnesite",1. Total allocated allowances (EUA or EUAA),2018,1142562
AT,31,31 Manufacture of glass,1. Total allocated allowances (EUA or EUAA),2018,168639
AT,32,32 Manufacture of ceramics,1. Total allocated allowances (EUA or EUAA),2018,335835
AT,34,34 Production or processing of gypsum or plasterboard,1. Total allocated allowances (EUA or EUAA),2018,57248
AT,35,35 Production of pulp,1. Total allocated allowances (EUA or EUAA),2018,513128
AT,36,36 Production of paper or cardboard,1. Total allocated allowances (EUA or EUAA),2018,1279535
AT,38,38 Production of nitric acid,1. Total allocated allowances (EUA or EUAA),2018,145185
AT,41,41 Production of ammonia,1. Total allocated allowances (EUA or EUAA),2018,634342
AT,42,42 Production of bulk chemicals,1. Total allocated allowances (EUA or EUAA),2018,178420
AT,99,99 Other activity opted-in under Art. 24,1. Total allocated allowances (EUA or EUAA),2018,91697
AT,10,10 Aviation,1. Total allocated allowances (EUA or EUAA),2019,2492937
AT,20,20 Combustion of fuels,1. Total allocated allowances (EUA or EUAA),2019,1991255
AT,20-99,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2019,26127848
AT,21,21 Refining of mineral oil,1. Total allocated allowances (EUA or EUAA),2019,1555261
AT,21-99,21-99 All industrial installations (excl. combustion),1. Total allocated allowances (EUA or EUAA),2019,16785093
AT,24,24 Production of pig iron or steel,1. Total allocated allowances (EUA or EUAA),2019,7969903
AT,25,25 Production or processing of ferrous metals,1. Total allocated allowances (EUA or EUAA),2019,154185
AT,27,27 Production of secondary aluminium,1. Total allocated allowances (EUA or EUAA),2019,54012
AT,28,28 Production or processing of non-ferrous metals,1. Total allocated allowances (EUA or EUAA),2019,48618
AT,29,29 Production of cement clinker,1. Total allocated allowances (EUA or EUAA),2019,2531358
AT,30,"30 Production of lime, or calcination of dolomite/magnesite",1. Total allocated allowances (EUA or EUAA),2019,1119526
AT,31,31 Manufacture of glass,1. Total allocated allowances (EUA or EUAA),2019,164835
AT,32,32 Manufacture of ceramics,1. Total allocated allowances (EUA or EUAA),2019,325342
AT,34,34 Production or processing of gypsum or plasterboard,1. Total allocated allowances (EUA or EUAA),2019,56097
AT,35,35 Production of pulp,1. Total allocated allowances (EUA or EUAA),2019,517929
AT,36,36 Production of paper or cardboard,1. Total allocated allowances (EUA or EUAA),2019,1259518
AT,38,38 Production of nitric acid,1. Total allocated allowances (EUA or EUAA),2019,142262
AT,41,41 Production of ammonia,1. Total allocated allowances (EUA or EUAA),2019,621568
AT,42,42 Production of bulk chemicals,1. Total allocated allowances (EUA or EUAA),2019,174828
AT,99,99 Other activity opted-in under Art. 24,1. Total allocated allowances (EUA or EUAA),2019,89851
AT,10,10 Aviation,1. Total allocated allowances (EUA or EUAA),2020,2587224
AT,20,20 Combustion of fuels,1. Total allocated allowances (EUA or EUAA),2020,1758350
AT,20-99,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2020,25653631
AT,21,21 Refining of mineral oil,1. Total allocated allowances (EUA or EUAA),2020,1515471
AT,21-99,21-99 All industrial installations (excl. combustion),1. Total allocated allowances (EUA or EUAA),2020,16427281
AT,24,24 Production of pig iron or steel,1. Total allocated allowances (EUA or EUAA),2020,7799769
AT,25,25 Production or processing of ferrous metals,1. Total allocated allowances (EUA or EUAA),2020,150363
AT,27,27 Production of secondary aluminium,1. Total allocated allowances (EUA or EUAA),2020,52920
AT,28,28 Production or processing of non-ferrous metals,1. Total allocated allowances (EUA or EUAA),2020,47624
AT,29,29 Production of cement clinker,1. Total allocated allowances (EUA or EUAA),2020,2478954
AT,30,"30 Production of lime, or calcination of dolomite/magnesite",1. Total allocated allowances (EUA or EUAA),2020,1096417
AT,31,31 Manufacture of glass,1. Total allocated allowances (EUA or EUAA),2020,161041
AT,32,32 Manufacture of ceramics,1. Total allocated allowances (EUA or EUAA),2020,318632
AT,34,34 Production or processing of gypsum or plasterboard,1. Total allocated allowances (EUA or EUAA),2020,54941
AT,35,35 Production of pulp,1. Total allocated allowances (EUA or EUAA),2020,513887
AT,36,36 Production of paper or cardboard,1. Total allocated allowances (EUA or EUAA),2020,1232046
AT,38,38 Production of nitric acid,1. Total allocated allowances (EUA or EUAA),2020,139328
AT,41,41 Production of ammonia,1. Total allocated allowances (EUA or EUAA),2020,608751
AT,42,42 Production of bulk chemicals,1. Total allocated allowances (EUA or EUAA),2020,171223
AT,99,99 Other activity opted-in under Art. 24,1. Total allocated allowances (EUA or EUAA),2020,85914
AT,10,10 Aviation,1. Total allocated allowances (EUA or EUAA),2021,2360260
AT,20,20 Combustion of fuels,1. Total allocated allowances (EUA or EUAA),2021,1398824
AT,20-99,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2021,24304946
AT,21,21 Refining of mineral oil,1. Total allocated allowances (EUA or EUAA),2021,1694477
AT,21-99,21-99 All industrial installations (excl. combustion),1. Total allocated allowances (EUA or EUAA),2021,17062622
AT,24,24 Production of pig iron or steel,1. Total allocated allowances (EUA or EUAA),2021,8789540
AT,25,25 Production or processing of ferrous metals,1. Total allocated allowances (EUA or EUAA),2021,113759
AT,27,27 Production of secondary aluminium,1. Total allocated allowances (EUA or EUAA),2021,49198
AT,28,28 Production or processing of non-ferrous metals,1. Total allocated allowances (EUA or EUAA),2021,42569
AT,29,29 Production of cement clinker,1. Total allocated allowances (EUA or EUAA),2021,2309789
AT,30,"30 Production of lime, or calcination of dolomite/magnesite",1. Total allocated allowances (EUA or EUAA),2021,899197
AT,31,31 Manufacture of glass,1. Total allocated allowances (EUA or EUAA),2021,152201
AT,32,32 Manufacture of ceramics,1. Total allocated allowances (EUA or EUAA),2021,301728
AT,34,34 Production or processing of gypsum or plasterboard,1. Total allocated allowances (EUA or EUAA),2021,5565
AT,35,35 Production of pulp,1. Total allocated allowances (EUA or EUAA),2021,574327
AT,36,36 Production of paper or cardboard,1. Total allocated allowances (EUA or EUAA),2021,1096431
AT,38,38 Production of nitric acid,1. Total allocated allowances (EUA or EUAA),2021,120187
AT,41,41 Production of ammonia,1. Total allocated allowances (EUA or EUAA),2021,752766
AT,42,42 Production of bulk chemicals,1. Total allocated allowances (EUA or EUAA),2021,135688
AT,99,99 Other activity opted-in under Art. 24,1. Total allocated allowances (EUA or EUAA),2021,25200
AT,10,10 Aviation,1. Total allocated allowances (EUA or EUAA),2022,2306972
AT,20,20 Combustion of fuels,1. Total allocated allowances (EUA or EUAA),2022,1377148
AT,20-99,20-99 All stationary installations,1. Total allocated allowances (EUA or EUAA),2022,23613944
AT,21,21 Refining of mineral oil,1. Total allocated allowances (EUA or EUAA),2022,1694144
AT,21-99,21-99 All industrial installations (excl. combustion),1. Total allocated allowances (EUA or EUAA),2022,17521296
AT,24,24 Production of pig iron or steel,1. Total allocated allowances (EUA or EUAA),2022,9085210
AT,25,25 Production or processing of ferrous metals,1. Total allocated allowances (EUA or EUAA),2022,113326
AT,27,27 Production of secondary aluminium,1. Total allocated allowances (EUA or EUAA),2022,49198
AT,28,28 Production or processing of non-ferrous metals,1. Total allocated allowances (EUA or EUAA),2022,42882
AT,29,29 Production of cement clinker,1. Total allocated allowances (EUA or EUAA),2022,2358961
AT,30,"30 Production of lime, or calcination of dolomite/magnesite",1. Total allocated allowances (EUA or EUAA),2022,1014193
